"Rider","Country","Team","2016_FP","2015_FP","2014_FP","2013_FP","2012_FP","2011_FP"
"Oliver Naesen","Bel","IAM Cycling",83,NA,NA,NA,NA,NA
"Chris Anker Sorensen","Den","Fortuneo Vital Concept",84,NA,NA,NA,14,37
"Daniel Teklehaimanot","Eri","Dimension Data",85,46,NA,NA,NA,NA
"Andriy Grivko","Ukr","Astana Pro Team",86,61,95,NA,43,144
"Arnold Jeannesson","Fra","Cofidis Solutions Credits",87,NA,30,29,NA,15
"Jan Barta","Cze","BoraArgon 18",88,24,71,NA,NA,NA
"Marcus Burghardt","Ger","BMC Racing Team",89,NA,154,98,58,164
"Anthony Delaplace","Fra","Fortuneo Vital Concept",90,80,78,89,NA,135
"Dylan Van Baarle","Ned","CannondaleDrapac",91,141,NA,NA,NA,NA
"Tsgabu Grmay","Eth","Lampre Merida",92,NA,NA,NA,NA,NA
"PierreLuc Perichon","Fra","Fortuneo Vital Concept",93,76,NA,NA,NA,NA
"Bertjan Lindeman","Ned","Team LottoNlJumbo",94,NA,NA,NA,NA,NA
"Peter Sagan","Svk","Tinkoff Team",95,43,60,82,42,NA
"Jeremy Roy","Fra","FDJ",96,100,57,126,66,86
"Reto Hollenstein","Swi","IAM Cycling",97,70,NA,NA,NA,NA
"Paul Martens","Ger","Team LottoNlJumbo",98,75,NA,NA,NA,NA
"Jasper Stuyven","Bel","TrekSegafredo",99,NA,NA,NA,NA,NA
"Adam Hansen","Aus","Lotto Soudal",100,109,64,72,81,NA
"Paul Voss","Ger","BoraArgon 18",101,94,50,NA,NA,NA
"Luka Pibernik","Slo","Lampre Merida",102,NA,NA,NA,NA,NA
"Vasil Kiryienka","Blr","Team Sky",103,NA,NA,NA,NA,NA
"Sep Vanmarcke","Bel","Team LottoNlJumbo",104,99,105,131,NA,NA
"Florian Vachon","Fra","Fortuneo Vital Concept",105,83,106,NA,NA,NA
"Nicolas Edet","Fra","Cofidis Solutions Credits",106,106,77,NA,128,NA
"Antoine Duchesne","Can","Direct Energie",107,NA,NA,NA,NA,NA
"Imanol Erviti Ollo","Spa","Movistar Team",108,NA,81,118,NA,88
"Edvald Boasson Hagen","Nor","Dimension Data",109,77,NA,NA,56,53
"Michael Matthews","Aus","OricaBikeExchange",110,146,NA,NA,NA,NA
"Timo Roosen","Ned","Team LottoNlJumbo",111,NA,NA,NA,NA,NA
"Luke Durbridge","Aus","OricaBikeExchange",112,145,122,NA,NA,NA
"Bryan Coquard","Fra","Direct Energie",113,105,103,NA,NA,NA
"Julien Vermote","Bel","Etixx QuickStep",114,111,NA,NA,NA,NA
"Reinardt Janse Van Rensburg","RSA","Dimension Data",115,91,NA,NA,NA,NA
"Yukiya Arashiro","Jpn","Lampre Merida",116,NA,65,99,84,NA
"Brent Bookwalter","USA","BMC Racing Team",117,NA,NA,91,NA,114
"Petr Vakoc","Cze","Etixx QuickStep",118,NA,NA,NA,NA,NA
"Christopher Juul Jensen","Den","OricaBikeExchange",119,NA,NA,NA,NA,NA
"Markel Irizar","Spa","TrekSegafredo",120,88,NA,NA,NA,NA
"Jerome Cousin","Fra","Cofidis Solutions Credits",121,NA,NA,156,NA,NA
"Roy Curvers","Ned","Team GiantAlpecin",122,101,116,145,135,NA
"Gregory Rast","Swi","TrekSegafredo",123,97,101,NA,NA,NA
"Lawson Craddock","USA","CannondaleDrapac",124,NA,NA,NA,NA,NA
"Natnael Berhane","Eri","Dimension Data",125,NA,NA,NA,NA,NA
"Jurgen Roelandts","Bel","Lotto Soudal",126,NA,111,160,104,85
"William Bonnet","Fra","FDJ",127,NA,158,NA,NA,NA
"Cesare Benedetti","Ita","BoraArgon 18",128,NA,NA,NA,NA,NA
"Angel Vicioso","Spa","Team Katusha",129,NA,NA,NA,NA,NA
"Samuel Dumoulin","Fra","AG2R La Mondiale",130,NA,90,143,107,162
"Alex Howes","USA","CannondaleDrapac",131,NA,127,NA,NA,NA
"Michael Albasini","Swi","OricaBikeExchange",132,NA,70,86,110,NA
"Andre Greipel","Ger","Lotto Soudal",133,128,149,129,123,156
"Ramunas Navardauskas","Ltu","CannondaleDrapac",134,137,141,120,NA,157
"Mathew Hayman","Aus","OricaBikeExchange",135,NA,NA,NA,NA,NA
"Matteo Bono","Ita","Lampre Merida",136,NA,NA,NA,NA,93
"Cyril Lemoine","Fra","Cofidis Solutions Credits",137,NA,110,112,136,NA
"Maarten Wynants","Bel","Team LottoNlJumbo",138,NA,117,132,NA,NA
"Iljo Keisse","Bel","Etixx QuickStep",139,NA,NA,NA,NA,NA
"Stephen Cummings","GBr","Dimension Data",140,81,NA,NA,95,NA
"Sondre Holst Enger","Nor","IAM Cycling",141,NA,NA,NA,NA,NA
"Geoffrey Soupe","Fra","Cofidis Solutions Credits",142,117,NA,NA,NA,NA
"Ramon Sinkeldam","Ned","Team GiantAlpecin",143,NA,NA,NA,NA,NA
"Maximiliano Richeze","Arg","Etixx QuickStep",144,NA,NA,NA,NA,NA
"Matteo Tosatto","Ita","Tinkoff Team",145,126,119,92,NA,123
"Armindo Fonseca","Fra","Fortuneo Vital Concept",146,113,138,NA,NA,NA
"Alexis Gougeard","Fra","AG2R La Mondiale",147,NA,NA,NA,NA,NA
"John Degenkolb","Ger","Team GiantAlpecin",148,104,123,121,NA,NA
"Alexander Kristoff","Nor","Team Katusha",149,124,125,147,NA,NA
"Fabio Sabatini","Ita","Etixx QuickStep",150,NA,118,117,NA,167
"Luke Rowe","GBr","Team Sky",151,130,NA,NA,NA,NA
"Kristijan Koren","Slo","CannondaleDrapac",152,64,135,100,98,87
"Albert Timmer","Ned","Team GiantAlpecin",153,133,146,164,148,NA
"Andreas Schillinger","Ger","BoraArgon 18",154,NA,144,NA,NA,NA
"Greg Henderson","NZl","Lotto Soudal",155,NA,NA,162,124,NA
"Oscar Gatto","Ita","Tinkoff Team",156,NA,NA,NA,NA,NA
"Christophe Laporte","Fra","Cofidis Solutions Credits",157,121,NA,NA,NA,NA
"Yohann Gene","Fra","Direct Energie",158,131,128,158,139,158
"Maciej Bodnar","Pol","Tinkoff Team",159,NA,112,114,NA,143
"Dylan Groenewegen","Ned","Team LottoNlJumbo",160,NA,NA,NA,NA,NA
"Ian Stannard","GBr","Team Sky",161,122,NA,135,NA,NA
"Marco Haller","Aut","Team Katusha",162,120,NA,NA,NA,NA
"Robert Wagner","Ger","Team LottoNlJumbo",163,NA,NA,NA,NA,NA
"Adrien Petit","Fra","Direct Energie",164,NA,156,NA,NA,NA
"Jacopo Guarnieri","Ita","Team Katusha",165,143,NA,NA,NA,NA
"Marcel Kittel","Ger","Etixx QuickStep",166,NA,161,166,NA,NA
"Vegard Breen","Nor","Fortuneo Vital Concept",167,NA,NA,NA,NA,NA
"Davide Cimolai","Ita","Lampre Merida",168,149,163,137,NA,NA
"Marcel Sieberg","Ger","Lotto Soudal",169,144,145,NA,132,141
"Daniel Mclay","GBr","Fortuneo Vital Concept",170,NA,NA,NA,NA,NA
"Bernhard Eisel","Aut","Dimension Data",171,NA,126,NA,146,161
"Leigh Howard","Aus","IAM Cycling",172,NA,NA,NA,NA,NA
"Lars Ytting Bak","Den","Lotto Soudal",173,34,NA,108,96,154
"Sam Bennett","Irl","BoraArgon 18",174,NA,NA,NA,NA,NA
