"#","Rider_2","Country","Team","Result","NA"
"91","Michael Albasini","Swi","Orica-Scott","",NA
"92","Nicolas Roche","Irl","BMC Racing Team","",NA
"93","Maurits Lammertink","Ned","Katusha-Alpecin","",NA
"94","Andriy Grivko","Ukr","Astana Pro Team","",NA
"95","Tony Martin","Ger","Katusha-Alpecin","",NA
"96","Nathan Brown","USA","Cannondale-Drapac","",NA
"97","Jonathan Castroviejo","Spa","Movistar Team","",NA
"98","Imanol Erviti","Spa","Movistar Team","",NA
"99","Andrey Amador","CRc","Movistar Team","",NA
"100","Michael Schär","Swi","BMC Racing Team","",NA
"101","Romain Hardy","Fra","Team Fortuneo - Oscaro","",NA
"102","Greg Van Avermaet","Bel","BMC Racing Team","",NA
"103","Serge Pauwels","Bel","Dimension Data","",NA
"104","Rudy Molard","Fra","FDJ","",NA
"105","Daryl Impey","RSA","Orica-Scott","",NA
"106","Arthur Vichot","Fra","FDJ","",NA
"107","Ondrej Cink","Cze","Bahrain-Merida","",NA
"108","Patrick Bevin","NZl","Cannondale-Drapac","",NA
"109","Maxime Bouet","Fra","Team Fortuneo - Oscaro","",NA
"110","Alexis Vuillermoz","Fra","AG2R La Mondiale","",NA
"111","Roy Curvers","Ned","Team Sunweb","",NA
"112","Daniel Navarro","Spa","Cofidis, Solutions Credits","",NA
"113","Marco Haller","Aut","Katusha-Alpecin","",NA
"114","Olivier Le Gac","Fra","FDJ","",NA
"115","Adam James Hansen","Aus","Lotto Soudal","",NA
"116","Marcel Sieberg","Ger","Lotto Soudal","",NA
"117","Borut Bozic","Slo","Bahrain-Merida","",NA
"118","Nicolas Edet","Fra","Cofidis, Solutions Credits","",NA
"119","Tiago Machado","Por","Katusha-Alpecin","",NA
"120","Lars Ytting Bak","Den","Lotto Soudal","",NA
"121","Axel Domont","Fra","AG2R La Mondiale","",NA
"122","Jack Bauer","NZl","Quick-Step Floors","",NA
"123","Yohann Gene","Fra","Direct Energie","",NA
"124","Robert Kiserlovski","Cro","Katusha-Alpecin","",NA
"125","Tsgabu Grmay","Eth","Bahrain-Merida","",NA
"126","Darwin Atapuma","Col","UAE Team Emirates","",NA
"127","Marcus Burghardt","Ger","Bora-Hansgrohe","",NA
"128","Amael Moinard","Fra","BMC Racing Team","",NA
"129","Damien Howson","Aus","Orica-Scott","",NA
"130","Thibaut Pinot","Fra","FDJ","",NA
"131","Simon Geschke","Ger","Team Sunweb","",NA
"132","Stephen Cummings","GBr","Dimension Data","",NA
"133","Grega Bole","Slo","Bahrain-Merida","",NA
"134","Primoz Roglic","Slo","Team LottoNl-Jumbo","",NA
"135","Adrien Petit","Fra","Direct Energie","",NA
"136","Romain Sicard","Fra","Direct Energie","0:00:35",NA
"137","Philippe Gilbert","Bel","Quick-Step Floors","0:00:37",NA
"138","Elie Gesbert","Fra","Team Fortuneo - Oscaro","0:00:38",NA
"139","Christian Knees","Ger","Team Sky","0:00:47",NA
"140","Ramon Sinkeldam","Ned","Team Sunweb","0:01:07",NA
"141","Nikias Arndt","Ger","Team Sunweb","",NA
"142","Zdenek Stybar","Cze","Quick-Step Floors","0:01:10",NA
"143","Florian Senechal","Fra","Cofidis, Solutions Credits","",NA
"144","Dimitri Claeys","Bel","Cofidis, Solutions Credits","",NA
"145","Cyril Lemoine","Fra","Cofidis, Solutions Credits","",NA
"146","Andrew Talansky","USA","Cannondale-Drapac","",NA
"147","Thomas Leezer","Ned","Team LottoNl-Jumbo","",NA
"148","Paul Martens","Ger","Team LottoNl-Jumbo","0:01:14",NA
"149","Bernhard Eisel","Aut","Dimension Data","0:01:22",NA
"150","Stefan Küng","Swi","BMC Racing Team","0:01:26",NA
"151","Frederik Backaert","Bel","Wanty - Groupe Gobert","",NA
"152","Perrig Quemeneur","Fra","Direct Energie","",NA
"153","Gianluca Brambilla","Ita","Quick-Step Floors","",NA
"154","Luke Rowe","GBr","Team Sky","",NA
"155","Scott Thwaites","GBr","Dimension Data","",NA
"156","Eduardo Sepulveda","Arg","Team Fortuneo - Oscaro","",NA
"157","Pierre Rolland","Fra","Cannondale-Drapac","",NA
"158","Javier Moreno","Spa","Bahrain-Merida","",NA
"159","Alessandro De Marchi","Ita","BMC Racing Team","0:01:37",NA
"160","Thomas De Gendt","Bel","Lotto Soudal","0:02:06",NA
"161","Thomas Voeckler","Fra","Direct Energie","",NA
"162","Laurent Pichon","Fra","Team Fortuneo - Oscaro","",NA
"163","Robert Wagner","Ger","Team LottoNl-Jumbo","",NA
"164","Julien Simon","Fra","Cofidis, Solutions Credits","",NA
"165","Jesus Herrada","Spa","Movistar Team","",NA
"166","Bakhtiyar Kozhatayev","Kaz","Astana Pro Team","0:02:20",NA
"167","Alexey Lutsenko","Kaz","Astana Pro Team","",NA
"168","Marco Marcato","Ita","UAE Team Emirates","",NA
"169","Vegard Stake Laengen","Nor","UAE Team Emirates","",NA
"170","Jaco Venter","RSA","Dimension Data","",NA
"171","Dylan Van Baarle","Ned","Cannondale-Drapac","",NA
"172","Mike Teunissen","Ned","Team Sunweb","",NA
"173","Albert Timmer","Ned","Team Sunweb","",NA
"174","Alberto Bettiol","Ita","Cannondale-Drapac","",NA
"175","Simon Clarke","Aus","Cannondale-Drapac","",NA
"176","Laurens Ten Dam","Ned","Team Sunweb","",NA
"177","Julien Vermote","Bel","Quick-Step Floors","0:03:44",NA
"178","Michael Gogl","Aut","Trek-Segafredo","0:04:16",NA
"179","Tim Wellens","Bel","Lotto Soudal","0:06:04",NA
"DNF","Dario Cataldo","Ita","Astana Pro Team","",NA
