"Rider","2010","2011","2012","2013","2014","2015","2016"
"GrEgory Rast",NA,NA,NA,NA,15.6333333333333,3.83055555555556,NA
"Greg van Avermaet",NA,NA,19.1252777777778,NA,NA,NA,NA
"Greg Van Avermaet",191.078055555556,181.135833333333,165.258888888889,160.045,201.2025,189.617222222222,154.7625
"Haimar Zubeldia",112.512777777778,NA,41.9436111111111,NA,36.6877777777778,96.9425,99.525
"Ian Stannard",146.994444444444,179.145555555556,197.620555555556,91.6255555555556,69.5922222222222,141.9625,106.202777777778
"Iljo Keisse",90.5255555555556,30.4883333333333,120.93,186.445833333333,186.193611111111,222.065833333333,139.011944444444
"Ilnur Zakarin",NA,37.8683333333333,61.2516666666667,88.1941666666667,74.0077777777778,181.396111111111,170.428333333333
"Imanol Erviti Ollo",59.9486111111111,102.191944444444,38.15,101.280833333333,52.5794444444444,43.2780555555556,103.068611111111
"Jacopo Guarnieri",149.116944444444,100.773611111111,125.432777777778,157.180833333333,123.893055555556,158.593333333333,125.046111111111
"Jakob Fuglsang",148.303055555556,189.561388888889,104.763611111111,112.994722222222,115.300833333333,114.796944444444,203.4975
"Jan Bakelants",5.20527777777778,126.108888888889,204.309166666667,70.8161111111111,137.025555555556,162.661944444444,173.999722222222
"Jan Barta",121.181944444444,128.4025,157.557777777778,150.600833333333,96.2972222222222,118.086111111111,110.668888888889
"Jan Polanc",28.2380555555556,61.505,27.1483333333333,13.1058333333333,179.520833333333,197.495277777778,173.050277777778
"Jarlinson Pantano",27.7525,110.291388888889,50.3280555555556,117.095833333333,199.5,104.303055555556,126.807777777778
"Jasper Stuyven",27.3505555555556,4.485,59.6636111111111,48.6297222222222,100.4925,130.701388888889,127.609722222222
"Jeremy Roy",166.320833333333,143.396111111111,194.291111111111,120.364166666667,180.796388888889,156.488888888889,89.0594444444444
"JErEmy Roy",NA,NA,NA,NA,10.7530555555556,NA,NA
"Jerome Coppel",156.55,128.990277777778,152.655833333333,94.4133333333333,119.090555555556,123.981666666667,173.461666666667
"Jerome Cousin",43.5694444444444,116.354722222222,154.476666666667,66.5855555555556,127.27,155.177222222222,105.619722222222
"Joaquim Rodriguez",35.3202777777778,NA,NA,26.7677777777778,18.8536111111111,104.531111111111,21.9941666666667
"John Degenkolb",92.9244444444444,111.066388888889,150.256111111111,123.194166666667,197.401666666667,160.567222222222,39.1897222222222
"Jon Izaguirre",21.5388888888889,18.0433333333333,NA,NA,NA,NA,86.4666666666667
"Julian Alaphilippe",1.39111111111111,NA,20.4091666666667,7.83972222222222,109.370277777778,140.452222222222,109.923611111111
"Julien Vermote",48.2508333333333,184.476944444444,194.854444444444,187.985277777778,200.006666666667,162.000277777778,168.014166666667
"Jurgen Roelandts",162.1375,186.528888888889,66.0497222222222,105.219722222222,123.475277777778,140.063611111111,159.522222222222
"Kristijan Durasek",102.441944444444,122.338888888889,40.7125,211.041666666667,130.009444444444,116.959444444444,127.6725
"Kristijan Koren",143.664722222222,104.458888888889,90.5083333333333,138.516944444444,164.941388888889,139.618611111111,122.292777777778
"Lars Ytting Bak",151.333611111111,212.424444444444,133.723333333333,104.794722222222,192.044722222222,160.455,149.151388888889
"Laurens ten Dam",NA,17.9175,NA,NA,68.9997222222222,34.5783333333333,4.58944444444444
"Laurens Ten Dam",129.429722222222,171.461388888889,175.296111111111,170.430555555556,116.501388888889,105.504166666667,118.019444444444
"Lawson Craddock",25.2666666666667,32.0638888888889,64.7766666666667,41.6794444444444,170.068333333333,115.513611111111,112.868888888889
"Leigh Howard",73.8175,86.2769444444444,133.985555555556,114.461666666667,185.220833333333,56.8783333333333,138.805833333333
"Louis Meintjes",4.93833333333333,26.48,NA,85.5147222222222,134.9025,169.309444444444,106.182777777778
"Luis Angel Mate",9.76361111111111,11.345,26.7925,12.2194444444444,8.61111111111111,116.421111111111,101.994444444444
"Luis Leon Sanchez",79.9402777777778,0.945277777777778,65.7836111111111,5.45583333333333,48.8344444444444,168.010833333333,112.218611111111
"Luka Pibernik",6.27,18.4577777777778,27.5302777777778,13.6052777777778,22.2252777777778,122.165,139.295833333333
"Luke Durbridge",62.1375,61.3444444444444,113.879722222222,189.050277777778,92.9386111111111,147.28,110.004722222222
"Luke Rowe",83.3358333333333,107.106944444444,151.439722222222,101.688888888889,187.346944444444,115.859722222222,120.719444444444
"Maarten Wynants",169.846666666667,136.888888888889,158.386944444444,136.888888888889,177.996944444444,171.047222222222,121.544444444444
"Maciej Bodnar",147.449722222222,134.980555555556,213.2225,144.965833333333,158.838055555556,84.1633333333333,125.3575
"Marcel Kittel",16.4297222222222,116.176666666667,150.612222222222,115.526111111111,85.3813888888889,46.4672222222222,127.571111111111
"Marcel Sieberg",171.1625,202.724166666667,179.975555555556,110.300555555556,130.896111111111,163.946666666667,99.9816666666667
"Marco Haller",20.5130555555556,52.8319444444444,129.761111111111,132.620833333333,192.256388888889,151.557222222222,159.023333333333
"Marcus Burghardt",153.087222222222,141.534722222222,140.191944444444,132.916944444444,182.533333333333,204.9725,143.064444444444
"Markel Irizar",17.2394444444444,18.1416666666667,51.6644444444444,15.6691666666667,24.6402777777778,95.3858333333333,74.9177777777778
"Martin Elmiger",158.046388888889,158.770833333333,187.855555555556,122.596388888889,138.664166666667,133.785833333333,159.751666666667
"Mathew Hayman",227.897222222222,175.017222222222,163.277222222222,98.1894444444444,174.513611111111,148.305833333333,84.7555555555556
"Matteo Bono",269.164166666667,206.226388888889,175.585277777778,126.368888888889,144.075,158.605555555556,187.458611111111
"Matteo Tosatto",194.2375,211.471666666667,179.379166666667,141.84,134.921388888889,184.661666666667,171.278333333333
"Maximiliano Richeze",NA,26.6933333333333,96.2508333333333,54.6116666666667,43.1766666666667,178.921944444444,53.4397222222222
"Michael Albasini",260.761388888889,185.541666666667,160.65,137.766666666667,158.143611111111,146.061944444444,163.403333333333
"Michael Matthews",129.919166666667,128.241944444444,159.465,106.995277777778,122.733611111111,129.577222222222,109.608055555556
"Michael Schar",170.340555555556,206.608888888889,134.812222222222,143.688055555556,175.803611111111,151.568611111111,134.410277777778
"Michael Valgren",8.46333333333333,10.9680555555556,NA,NA,20.0144444444444,8.99555555555555,113.189444444444
"Mikael Cherel",71.7138888888889,261.399722222222,164.991111111111,136.000277777778,114.940555555556,167.260277777778,165.744166666667
"Mikel Landa Meana",45.2866666666667,72.3119444444444,119.448055555556,88.2327777777778,179.6175,154.835,108.305555555556
"Mikel Nieve",108.072777777778,NA,9.77416666666667,18.2655555555556,NA,154.804444444444,154.584166666667
"Nairo Quintana",NA,NA,36.9258333333333,0.116666666666667,NA,94.9591666666667,62.6019444444444
"Natnael Berhane",13.6772222222222,49.9763888888889,13.3911111111111,128.918611111111,114.977777777778,129.113333333333,133.405555555556
"Nelson Oliveira",106.301388888889,100.756111111111,176.833055555556,NA,47.2680555555556,113.005555555556,80.5477777777778
"Nicolas Edet",28.7672222222222,135.864444444444,143.386666666667,143.591388888889,76.3991666666667,144.938611111111,155.442222222222
"Oliver Naesen",NA,NA,11.9105555555556,NA,21.2288888888889,187.548888888889,151.491388888889
"Oscar Gatto",172.430277777778,226.703611111111,175.108888888889,186.674444444444,230.438888888889,170.758333333333,154.610555555556
"Paolo Tiralongo",155.007222222222,194.908055555556,159.848888888889,155.3675,149.578611111111,163.377777777778,122.544722222222
"Patrick Konrad",59.4608333333333,37.3586111111111,19.6483333333333,NA,4.5325,110.992222222222,109.812222222222
"Paul Martens",188.529444444444,167.686666666667,152.149722222222,192.826111111111,132.341944444444,111.518888888889,197.064444444444
"Paul Voss",146.673611111111,57.2163888888889,109.779166666667,144.1625,124.001111111111,107.2875,133.101111111111
"Peter Sagan",136.856666666667,140.893055555556,158.554166666667,166.621111111111,209.148055555556,148.671944444444,128.000555555556
"Peter Stetina",163.728333333333,230.428888888889,192.990555555556,197.773333333333,190.798055555556,52.2797222222222,169.245
"Petr Vakoc",12.9469444444444,77.3630555555556,16.3791666666667,5.345,119.379444444444,226.056388888889,121.453055555556
"PierreLuc Perichon",29.0533333333333,12.3016666666667,33.3922222222222,12.5725,13.8455555555556,74.7230555555556,76.5005555555556
"Pierre Rolland",179.196111111111,224.143333333333,157.361666666667,169.931666666667,197.545833333333,205.579722222222,142.605
"Rafal Majka",32.7725,130.456666666667,62.7205555555556,128.228888888889,163.592777777778,147.259444444444,195.5175
"Ramon Sinkeldam",124.193055555556,107.188611111111,114.673888888889,147.102777777778,173.436111111111,168.347777777778,72.4566666666667
"Ramunas Navardauskas",46.8816666666667,168.756388888889,179.084166666667,127.618888888889,120.001111111111,121.516388888889,200.7
"Reinardt Janse van Rensburg",NA,NA,4.58527777777778,NA,NA,NA,NA
"Reinardt Janse Van Rensburg",56.6894444444444,102.639166666667,31.3577777777778,96.6361111111111,107.949166666667,134.123888888889,147.288888888889
"Reto Hollenstein",136.010833333333,62.6680555555556,117.228333333333,141.08,149.413333333333,94.3066666666667,197.336111111111
"Richie Porte",235.058055555556,265.586111111111,124.07,99.2922222222222,77.6608333333333,164.303055555556,122.054444444444
"Robert Kiserlovski",204.703888888889,152.573333333333,125.455,137.333888888889,168.930555555556,151.635833333333,122.964444444444
"Robert Wagner",126.239722222222,95.1027777777778,62.8172222222222,127.713333333333,148.293611111111,100.8925,121.306666666667
"Romain Bardet",44.3472222222222,68.7038888888889,137.636944444444,111.389444444444,159.806666666667,166.201944444444,194.439166666667
"Romain Sicard",152.378611111111,58.8647222222222,132.234444444444,114.856666666667,220.280555555556,175.090555555556,132.637777777778
"Roman Kreuziger",154.314166666667,201.596944444444,197.195277777778,126.354166666667,136.539166666667,166.178888888889,179.294444444444
"Roy Curvers",142.062777777778,128.597222222222,136.726666666667,124.426666666667,152.783055555556,137.935833333333,165.020555555556
"Ruben Plaza",30.8816666666667,NA,20.7605555555556,20.8311111111111,13.5702777777778,NA,120.472222222222
"Rui Costa",19.9838888888889,0,70.6022222222222,2.65194444444444,20.1072222222222,106.548333333333,96.9008333333333
"Sam Bennett",61.1397222222222,72.9333333333333,54.5158333333333,42.1791666666667,114.939444444444,110.257222222222,129.334722222222
"Samuel Dumoulin",177.385277777778,142.54,160.899722222222,130.658611111111,158.046388888889,122.1075,119.415
"Sebastien Reichenbach",63.8036111111111,73.4111111111111,9.24277777777778,110.912222222222,144.320277777778,195.479722222222,141.851666666667
"Sep Vanmarcke",110.761944444444,87.3561111111111,122.482777777778,119.021944444444,159.799444444444,151.995833333333,110.591388888889
"Serge Pauwels",128.148611111111,98.3358333333333,205.366111111111,236.980277777778,149.046111111111,140.361111111111,154.615555555556
"Sergio Henao",NA,NA,NA,6.59611111111111,NA,NA,75.8819444444444
"Simon Geschke",172.425277777778,142.825555555556,101.306388888889,142.570555555556,175.795,160.625555555556,193.412222222222
"Sondre Holst Enger",NA,NA,41.8102777777778,5.08,20.8116666666667,54.6641666666667,121.377777777778
"Stef Clement",127.381944444444,198.629722222222,212.472777777778,193.018888888889,171.058888888889,136.164722222222,106.123055555556
"Stephen Cummings",119.391111111111,126.443888888889,80.0583333333333,204.348055555556,91.8652777777778,118.714722222222,106.581666666667
"Steve Morabito",137.015555555556,166.981388888889,105.383888888889,158.204722222222,191.415,120.226388888889,107.875555555556
"Sylvain Chavanel",123.524722222222,164.542777777778,140.63,119.525833333333,162.0275,197.674166666667,190.109444444444
"Tanel Kangert",12.6047222222222,137.965833333333,181.708055555556,192.435833333333,130.535555555556,146.664722222222,193.599722222222
"Tejay van Garderen",NA,NA,NA,96.8813888888889,46.5088888888889,21.1627777777778,58.8394444444444
"Tejay Van Garderen",160.221111111111,182.273888888889,149.181944444444,4.10916666666667,58.8425,117.630555555556,89.9572222222222
"Thomas De Gendt",146.246666666667,168.280833333333,241.356111111111,156.518055555556,164.878888888889,156.664722222222,121.240277777778
"Thomas Voeckler",256.284722222222,221.800555555556,163.1225,154.478055555556,182.288055555556,254.388611111111,209.260277777778
"Timo Roosen",13.9483333333333,NA,4.39777777777778,NA,27.6113888888889,157.964722222222,119.333333333333
"Tom Jelte Slagter",64.6602777777778,110.594166666667,219.348333333333,147.0375,119.558611111111,180.580555555556,188.176388888889
"Tony Gallopin",66.0627777777778,105.420277777778,127.647777777778,120.097777777778,139.460555555556,158.329166666667,174.884722222222
"Tsgabu Grmay",NA,13.7477777777778,14.8763888888889,37.5894444444444,47.9075,169.941666666667,97.4969444444444
"Vasil Kiryienka",121.783055555556,NA,73.7,102.386388888889,121.104444444444,209.660555555556,201.95
"Vegard Breen",64.6358333333333,79.0069444444444,57.1147222222222,46.7716666666667,158.845277777778,59.5530555555556,129.064722222222
"Vincenzo Nibali",218.313611111111,170.323333333333,158.020555555556,192.798611111111,145.245277777778,141.834722222222,214.055277777778
"Warren Barguil",13.4686111111111,42.5105555555556,20.3969444444444,123.849444444444,160.583333333333,125.542777777778,121.229722222222
"Wilco Kelderman",81.8347222222222,93.4219444444444,164.468333333333,179.3,205.166388888889,141.119166666667,155.415
"William Bonnet",192.09,98.3641666666667,179.125833333333,126.377222222222,118.305555555556,157.7825,117.547222222222
"Winner Anacona",NA,NA,NA,NA,NA,89.8022222222222,87.9975
"Wouter Poels",126.115833333333,52.8483333333333,38.5836111111111,119.378611111111,30.9775,108.306388888889,147.549444444444
"Yohann Gene",168.865833333333,136.925277777778,151.0425,108.360277777778,138.1725,145.797222222222,113.473333333333
"Yukiya Arashiro",163.041111111111,142.268333333333,111.069166666667,145.951944444444,187.011944444444,106.212222222222,60.5483333333333
