"#","Rider_2","Country","Team","Result","NA"
"1","Geraint Thomas","GBr","Team Sky","0:16:04",NA
"2","Stefan Küng","Swi","BMC Racing Team","0:00:05",NA
"3","Vasil Kiryienka","Blr","Team Sky","0:00:07",NA
"4","Tony Martin","Ger","Katusha-Alpecin","0:00:08",NA
"5","Matteo Trentin","Ita","Quick-Step Floors","0:00:10",NA
"6","Christopher Froome","GBr","Team Sky","0:00:12",NA
"7","Jos Van Emden","Ned","Team LottoNl-Jumbo","0:00:15",NA
"8","Michal Kwiatkowski","Pol","Team Sky","",NA
"9","Marcel Kittel","Ger","Quick-Step Floors","0:00:16",NA
"10","Edvald Boasson Hagen","Nor","Dimension Data","",NA
"11","Nikias Arndt","Ger","Team Sunweb","",NA
"12","Taylor Phinney","USA","Cannondale-Drapac","0:00:17",NA
"13","Andriy Grivko","Ukr","Astana Pro Team","",NA
"14","Daryl Impey","RSA","Orica-Scott","0:00:19",NA
"15","Jonathan Castroviejo","Spa","Movistar Team","0:00:20",NA
"16","Michael Matthews","Aus","Team Sunweb","",NA
"17","Pierre Latour","Fra","AG2R La Mondiale","0:00:25",NA
"18","Peter Sagan","Svk","Bora-Hansgrohe","",NA
"19","Andrey Amador","CRc","Movistar Team","0:00:27",NA
"20","Alexey Lutsenko","Kaz","Astana Pro Team","0:00:29",NA
"21","Philippe Gilbert","Bel","Quick-Step Floors","0:00:30",NA
"22","Robert Gesink","Ned","Team LottoNl-Jumbo","0:00:31",NA
"23","Sonny Colbrelli","Ita","Bahrain-Merida","0:00:32",NA
"24","Tim Wellens","Bel","Lotto Soudal","",NA
"25","Maciej Bodnar","Pol","Bora-Hansgrohe","0:00:33",NA
"26","Timo Roosen","Ned","Team LottoNl-Jumbo","0:00:34",NA
"27","Alexander Kristoff","Nor","Katusha-Alpecin","0:00:36",NA
"28","Reto Hollenstein","Swi","Katusha-Alpecin","",NA
"29","Simon Yates","GBr","Orica-Scott","0:00:37",NA
"30","Fabio Felline","Ita","Trek-Segafredo","",NA
