"#","Rider_2","Country","Team","Result","NA"
"31","Zdenek Stybar","Cze","Quick-Step Floors","0:00:39",NA
"32","Alessandro De Marchi","Ita","BMC Racing Team","",NA
"33","Emanuel Buchmann","Ger","Bora-Hansgrohe","0:00:40",NA
"34","Paul Martens","Ger","Team LottoNl-Jumbo","",NA
"35","Jesus Herrada","Spa","Movistar Team","",NA
"36","Jasha Sütterlin","Ger","Movistar Team","0:00:41",NA
"37","Mike Teunissen","Ned","Team Sunweb","",NA
"38","Nils Politt","Ger","Katusha-Alpecin","",NA
"39","Greg Van Avermaet","Bel","BMC Racing Team","0:00:42",NA
"40","Michael Albasini","Swi","Orica-Scott","",NA
"41","Damien Howson","Aus","Orica-Scott","0:00:43",NA
"42","Diego Ulissi","Ita","UAE Team Emirates","",NA
"43","Michael Schär","Swi","BMC Racing Team","0:00:44",NA
"44","Dylan Van Baarle","Ned","Cannondale-Drapac","",NA
"45","Robert Wagner","Ger","Team LottoNl-Jumbo","0:00:45",NA
"46","Ignatas Konovalovas","Ltu","FDJ","0:00:46",NA
"47","Simon Geschke","Ger","Team Sunweb","",NA
"48","Damiano Caruso","Ita","BMC Racing Team","0:00:47",NA
"49","Richie Porte","Aus","BMC Racing Team","",NA
"50","Imanol Erviti","Spa","Movistar Team","0:00:48",NA
"51","Sylvain Chavanel","Fra","Direct Energie","",NA
"52","Jarlinson Pantano","Col","Trek-Segafredo","",NA
"53","Nairo Quintana","Col","Movistar Team","",NA
"54","Rafal Majka","Pol","Bora-Hansgrohe","0:00:49",NA
"55","Andrew Talansky","USA","Cannondale-Drapac","",NA
"56","Jack Bauer","NZl","Quick-Step Floors","",NA
"57","Daniel Martin","Irl","Quick-Step Floors","",NA
"58","John Degenkolb","Ger","Trek-Segafredo","",NA
"59","Arnaud Demare","Fra","FDJ","",NA
"60","Thibaut Pinot","Fra","FDJ","0:00:50",NA
"61","Romain Sicard","Fra","Direct Energie","",NA
"62","Albert Timmer","Ned","Team Sunweb","0:00:51",NA
"63","Romain Bardet","Fra","AG2R La Mondiale","",NA
"64","Alberto Bettiol","Ita","Cannondale-Drapac","0:00:52",NA
"65","Primoz Roglic","Slo","Team LottoNl-Jumbo","",NA
"66","Fabio Aru","Ita","Astana Pro Team","",NA
"67","Lilian Calmejane","Fra","Direct Energie","0:00:53",NA
"68","Alberto Contador","Spa","Trek-Segafredo","0:00:54",NA
"69","Carlos Betancur","Col","Movistar Team","",NA
"70","Jakob Fuglsang","Den","Astana Pro Team","",NA
"71","Koen De Kort","Ned","Trek-Segafredo","",NA
"72","Dmitriy Gruzdev","Kaz","Astana Pro Team","",NA
"73","Michael Valgren Andersen","Den","Astana Pro Team","0:00:55",NA
"74","Dario Cataldo","Ita","Astana Pro Team","",NA
"75","Stephen Cummings","GBr","Dimension Data","0:00:56",NA
"76","Daniele Bennati","Ita","Movistar Team","",NA
"77","Christian Knees","Ger","Team Sky","",NA
"78","Roman Kreuziger","Cze","Orica-Scott","",NA
"79","André Greipel","Ger","Lotto Soudal","0:00:57",NA
"80","Julien Vermote","Bel","Quick-Step Floors","0:00:58",NA
"81","Warren Barguil","Fra","Team Sunweb","0:00:59",NA
"82","Rudy Molard","Fra","FDJ","",NA
"83","Pierre Luc Perichon","Fra","Team Fortuneo - Oscaro","",NA
"84","Lars Ytting Bak","Den","Lotto Soudal","",NA
"85","Jurgen Roelandts","Bel","Lotto Soudal","0:01:00",NA
"86","Danilo Wyss","Swi","BMC Racing Team","",NA
"87","Nicolas Edet","Fra","Cofidis, Solutions Credits","",NA
"88","Mathew Hayman","Aus","Orica-Scott","0:01:01",NA
"89","Cyril Lemoine","Fra","Cofidis, Solutions Credits","",NA
"90","Alexis Vuillermoz","Fra","AG2R La Mondiale","0:01:02",NA
"91","Simon Clarke","Aus","Cannondale-Drapac","",NA
"92","Markel Irizar","Spa","Trek-Segafredo","",NA
"93","Laurens Ten Dam","Ned","Team Sunweb","0:01:03",NA
"94","Maurits Lammertink","Ned","Katusha-Alpecin","",NA
"95","Rigoberto Uran","Col","Cannondale-Drapac","",NA
"96","Jens Keukeleire","Bel","Orica-Scott","0:01:04",NA
"97","Maxime Bouet","Fra","Team Fortuneo - Oscaro","",NA
"98","Tiago Machado","Por","Katusha-Alpecin","",NA
"99","Jan Bakelants","Bel","AG2R La Mondiale","0:01:05",NA
"100","Haimar Zubeldia","Spa","Trek-Segafredo","0:01:06",NA
"101","Nathan Brown","USA","Cannondale-Drapac","",NA
"102","Mikel Landa","Spa","Team Sky","0:01:08",NA
"103","Ben Swift","GBr","UAE Team Emirates","",NA
"104","Mathias Frank","Swi","AG2R La Mondiale","0:01:09",NA
"105","Eduardo Sepulveda","Arg","Team Fortuneo - Oscaro","",NA
"106","Reinardt Janse Van Rensburg","RSA","Dimension Data","",NA
"107","Serge Pauwels","Bel","Dimension Data","0:01:10",NA
"108","Tsgabu Grmay","Eth","Bahrain-Merida","",NA
"109","Jay McCarthy","Aus","Bora-Hansgrohe","",NA
"110","Michael Gogl","Aut","Trek-Segafredo","",NA
"111","Marcel Sieberg","Ger","Lotto Soudal","0:01:11",NA
"112","Vegard Stake Laengen","Nor","UAE Team Emirates","",NA
"113","Louis Meintjes","RSA","UAE Team Emirates","0:01:12",NA
"114","Daniel Mclay","GBr","Team Fortuneo - Oscaro","",NA
"115","Manuele Mori","Ita","UAE Team Emirates","",NA
"116","Esteban Chaves","Col","Orica-Scott","0:01:13",NA
"117","Ondrej Cink","Cze","Bahrain-Merida","",NA
"118","Ramon Sinkeldam","Ned","Team Sunweb","",NA
"119","Ben Gastauer","Lux","AG2R La Mondiale","",NA
"120","Christophe Laporte","Fra","Cofidis, Solutions Credits","0:01:14",NA
"121","Fabio Sabatini","Ita","Quick-Step Floors","",NA
"122","Nicolas Roche","Irl","BMC Racing Team","",NA
"123","Tiesj Benoot","Bel","Lotto Soudal","0:01:15",NA
"124","Pierre Rolland","Fra","Cannondale-Drapac","0:01:16",NA
"125","Sergio Henao","Col","Team Sky","",NA
"126","Oliver Naesen","Bel","AG2R La Mondiale","",NA
"127","Axel Domont","Fra","AG2R La Mondiale","",NA
"128","Gianluca Brambilla","Ita","Quick-Step Floors","",NA
"129","Frederik Backaert","Bel","Wanty - Groupe Gobert","0:01:17",NA
"130","Florian Vachon","Fra","Team Fortuneo - Oscaro","",NA
"131","Thomas De Gendt","Bel","Lotto Soudal","",NA
"132","Bauke Mollema","Ned","Trek-Segafredo","0:01:18",NA
"133","Mikel Nieve","Spa","Team Sky","0:01:20",NA
"134","Javier Moreno","Spa","Bahrain-Merida","",NA
"135","Olivier Le Gac","Fra","FDJ","",NA
"136","Grega Bole","Slo","Bahrain-Merida","",NA
"137","Dimitri Claeys","Bel","Cofidis, Solutions Credits","",NA
"138","Elie Gesbert","Fra","Team Fortuneo - Oscaro","",NA
"139","Thomas Leezer","Ned","Team LottoNl-Jumbo","",NA
"140","Matteo Bono","Ita","UAE Team Emirates","",NA
"141","Jaco Venter","RSA","Dimension Data","",NA
"142","Janez Brajkovic","Slo","Bahrain-Merida","",NA
"143","Marco Marcato","Ita","UAE Team Emirates","0:01:21",NA
"144","Andrea Pasqualon","Ita","Wanty - Groupe Gobert","0:01:23",NA
"145","Mickael Delage","Fra","FDJ","",NA
"146","Florian Senechal","Fra","Cofidis, Solutions Credits","0:01:24",NA
"147","Amael Moinard","Fra","BMC Racing Team","0:01:25",NA
"148","Brice Feillu","Fra","Team Fortuneo - Oscaro","",NA
"149","Thomas Boudat","Fra","Direct Energie","0:01:27",NA
"150","Yohann Gene","Fra","Direct Energie","",NA
"151","Angelo Tulik","Fra","Direct Energie","",NA
"152","Bakhtiyar Kozhatayev","Kaz","Astana Pro Team","0:01:28",NA
"153","Julien Simon","Fra","Cofidis, Solutions Credits","0:01:29",NA
"154","Marco Haller","Aut","Katusha-Alpecin","",NA
"155","Yoann Offredo","Fra","Wanty - Groupe Gobert","",NA
"156","Arthur Vichot","Fra","FDJ","",NA
"157","Thomas Degand","Bel","Wanty - Groupe Gobert","",NA
"158","Thomas Voeckler","Fra","Direct Energie","0:01:32",NA
"159","Pawel Poljanski","Pol","Bora-Hansgrohe","",NA
"160","Pieter Vanspeybrouck","Bel","Wanty - Groupe Gobert","0:01:36",NA
"161","Juraj Sagan","Svk","Bora-Hansgrohe","0:01:37",NA
"162","George Bennett","NZl","Team LottoNl-Jumbo","",NA
"163","Laurent Pichon","Fra","Team Fortuneo - Oscaro","0:01:39",NA
"164","Borut Bozic","Slo","Bahrain-Merida","0:01:40",NA
"165","Davide Cimolai","Ita","FDJ","",NA
"166","Rüdiger Selig","Ger","Bora-Hansgrohe","0:01:41",NA
"167","Guillaume Martin","Fra","Wanty - Groupe Gobert","0:01:42",NA
"168","Bernhard Eisel","Aut","Dimension Data","",NA
"169","Cyril Gautier","Fra","AG2R La Mondiale","0:01:43",NA
"170","Andrey Zeits","Kaz","Astana Pro Team","",NA
"171","Marco Minnaard","Ned","Wanty - Groupe Gobert","",NA
"172","Marcus Burghardt","Ger","Bora-Hansgrohe","",NA
"173","Romain Hardy","Fra","Team Fortuneo - Oscaro","0:01:45",NA
"174","Adrien Petit","Fra","Direct Energie","",NA
"175","Yukiya Arashiro","Jpn","Bahrain-Merida","0:01:46",NA
"176","Mark Cavendish","GBr","Dimension Data","",NA
"177","Perrig Quemeneur","Fra","Direct Energie","0:01:47",NA
"178","Dion Smith","NZl","Wanty - Groupe Gobert","",NA
"179","Jacopo Guarnieri","Ita","FDJ","0:01:48",NA
"180","Patrick Bevin","NZl","Cannondale-Drapac","",NA
"181","Scott Thwaites","GBr","Dimension Data","0:01:50",NA
"182","Luke Rowe","GBr","Team Sky","",NA
"183","Mark Renshaw","Aus","Dimension Data","",NA
"184","Guillaume Van Keirsbulck","Bel","Wanty - Groupe Gobert","0:01:54",NA
"185","Dylan Groenewegen","Ned","Team LottoNl-Jumbo","0:01:55",NA
"186","Daniel Navarro","Spa","Cofidis, Solutions Credits","0:01:57",NA
"187","Kristijan Durasek","Cro","UAE Team Emirates","",NA
"188","Adam James Hansen","Aus","Lotto Soudal","0:01:59",NA
"189","Roy Curvers","Ned","Team Sunweb","0:02:12",NA
"190","Rick Zabel","Ger","Katusha-Alpecin","",NA
"191","Robert Kiserlovski","Cro","Katusha-Alpecin","0:02:13",NA
"192","Luis Angel Mate","Spa","Cofidis, Solutions Credits","",NA
"193","Nacer Bouhanni","Fra","Cofidis, Solutions Credits","0:02:23",NA
"194","Darwin Atapuma","Col","UAE Team Emirates","0:02:26",NA
"195","Luke Durbridge","Aus","Orica-Scott","0:03:01",NA
"196","Tony Gallopin","Fra","Lotto Soudal","0:03:03",NA
"DNF","Ion Izagirre","Spa) Bahrain-Merida",NA,"0:03:03",NA
"DNF","Alejandro Valverde","Spa","Movistar Team","0:03:03",NA
