"Rider","2016_FP","2015_FP","2014_FP","2013_FP","2012_FP","2011_FP"
"Gregory Rast",123,97,101,NA,NA,NA
"Lawson Craddock",124,NA,NA,NA,NA,NA
"Natnael Berhane",125,NA,NA,NA,NA,NA
"Jurgen Roelandts",126,NA,111,160,104,85
"William Bonnet",127,NA,158,NA,NA,NA
"Cesare Benedetti",128,NA,NA,NA,NA,NA
"Angel Vicioso",129,NA,NA,NA,NA,NA
"Samuel Dumoulin",130,NA,90,143,107,162
"Alex Howes",131,NA,127,NA,NA,NA
"Michael Albasini",132,NA,70,86,110,NA
"Andre Greipel",133,128,149,129,123,156
"Ramunas Navardauskas",134,137,141,120,NA,157
"Mathew Hayman",135,NA,NA,NA,NA,NA
"Matteo Bono",136,NA,NA,NA,NA,93
"Cyril Lemoine",137,NA,110,112,136,NA
"Maarten Wynants",138,NA,117,132,NA,NA
"Iljo Keisse",139,NA,NA,NA,NA,NA
"Stephen Cummings",140,81,NA,NA,95,NA
"Sondre Holst Enger",141,NA,NA,NA,NA,NA
"Geoffrey Soupe",142,117,NA,NA,NA,NA
"Ramon Sinkeldam",143,NA,NA,NA,NA,NA
"Maximiliano Richeze",144,NA,NA,NA,NA,NA
"Matteo Tosatto",145,126,119,92,NA,123
"Armindo Fonseca",146,113,138,NA,NA,NA
"Alexis Gougeard",147,NA,NA,NA,NA,NA
"John Degenkolb",148,104,123,121,NA,NA
"Alexander Kristoff",149,124,125,147,NA,NA
"Fabio Sabatini",150,NA,118,117,NA,167
"Luke Rowe",151,130,NA,NA,NA,NA
"Kristijan Koren",152,64,135,100,98,87
"Albert Timmer",153,133,146,164,148,NA
"Andreas Schillinger",154,NA,144,NA,NA,NA
"Greg Henderson",155,NA,NA,162,124,NA
"Oscar Gatto",156,NA,NA,NA,NA,NA
"Christophe Laporte",157,121,NA,NA,NA,NA
"Yohann Gene",158,131,128,158,139,158
"Maciej Bodnar",159,NA,112,114,NA,143
"Dylan Groenewegen",160,NA,NA,NA,NA,NA
"Ian Stannard",161,122,NA,135,NA,NA
"Marco Haller",162,120,NA,NA,NA,NA
"Robert Wagner",163,NA,NA,NA,NA,NA
"Adrien Petit",164,NA,156,NA,NA,NA
"Jacopo Guarnieri",165,143,NA,NA,NA,NA
"Marcel Kittel",166,NA,161,166,NA,NA
"Vegard Breen",167,NA,NA,NA,NA,NA
"Davide Cimolai",168,149,163,137,NA,NA
"Marcel Sieberg",169,144,145,NA,132,141
"Daniel Mclay",170,NA,NA,NA,NA,NA
"Bernhard Eisel",171,NA,126,NA,146,161
"Leigh Howard",172,NA,NA,NA,NA,NA
"Lars Ytting Bak",173,34,NA,108,96,154
"Sam Bennett",174,NA,NA,NA,NA,NA
