"Rider","Year","Riding_Time_hrs"
"Bartosz Huzarski",2016,76.0911111111111
"Bauke Mollema",2010,237.719722222222
"Bauke Mollema",2011,155.836944444444
"Bauke Mollema",2012,125.564166666667
"Bauke Mollema",2013,130.259722222222
"Bauke Mollema",2014,139.627777777778
"Bauke Mollema",2015,157.600555555556
"Bauke Mollema",2016,185.823333333333
"Ben Gastauer",2010,132.118333333333
"Ben Gastauer",2011,207.89
"Ben Gastauer",2012,191.949166666667
"Ben Gastauer",2013,195.234166666667
"Ben Gastauer",2014,144.166388888889
"Ben Gastauer",2015,181.620833333333
"Ben Gastauer",2016,172.446388888889
"Bernhard Eisel",2010,200.428611111111
"Bernhard Eisel",2011,158.726111111111
"Bernhard Eisel",2012,184.360555555556
"Bernhard Eisel",2013,91.6811111111111
"Bernhard Eisel",2014,183.078055555556
"Bernhard Eisel",2015,193.273333333333
"Bernhard Eisel",2016,131.974166666667
"Bertjan Lindeman",2010,35.2172222222222
"Bertjan Lindeman",2011,27.26
"Bertjan Lindeman",2012,42.2813888888889
"Bertjan Lindeman",2013,82.9436111111111
"Bertjan Lindeman",2014,13.9583333333333
"Bertjan Lindeman",2015,153.776666666667
"Bertjan Lindeman",2016,149.509166666667
"BertJan Lindeman",2010,51.5688888888889
"BertJan Lindeman",2011,15.6680555555556
"BertJan Lindeman",2012,51.2202777777778
"BertJan Lindeman",2013,41.3691666666667
"BertJan Lindeman",2014,57.1716666666667
"BertJan Lindeman",2015,23.1411111111111
"BertJan Lindeman",2016,4.58944444444444
"Brent Bookwalter",2010,168.983333333333
"Brent Bookwalter",2011,146.1225
"Brent Bookwalter",2012,154.838055555556
"Brent Bookwalter",2013,134.070833333333
"Brent Bookwalter",2014,131.773055555556
"Brent Bookwalter",2015,190.959444444444
"Brent Bookwalter",2016,153.499722222222
"Brice Feillu",2010,194.550833333333
"Brice Feillu",2011,151.1225
"Brice Feillu",2012,164.031944444444
"Brice Feillu",2013,138.251111111111
"Brice Feillu",2014,138.941111111111
"Brice Feillu",2015,118.729166666667
"Brice Feillu",2016,89.3269444444445
"Bryan Coquard",2010,20.2291666666667
"Bryan Coquard",2011,11.5327777777778
"Bryan Coquard",2012,12.6216666666667
"Bryan Coquard",2013,107.743611111111
"Bryan Coquard",2014,170.500277777778
"Bryan Coquard",2015,189.884722222222
"Bryan Coquard",2016,117.234166666667
"Cesare Benedetti",2010,117.511944444444
"Cesare Benedetti",2011,101.980833333333
"Cesare Benedetti",2012,182.406388888889
"Cesare Benedetti",2013,129.223888888889
"Cesare Benedetti",2014,140.541666666667
"Cesare Benedetti",2015,116.484166666667
"Cesare Benedetti",2016,116.946944444444
"Chris Anker Sorensen",2010,16.3213888888889
"Chris Anker Sorensen",2011,188.369166666667
"Chris Anker Sorensen",2012,137.539444444444
"Chris Anker Sorensen",2013,134.504444444444
"Chris Anker Sorensen",2014,160.762777777778
"Chris Anker Sorensen",2015,169.755
"Chris Anker Sorensen",2016,155.228888888889
"Christophe Laporte",2012,11.7558333333333
"Christophe Laporte",2013,1.12916666666667
"Christophe Laporte",2014,89.4672222222222
"Christophe Laporte",2015,142.653888888889
"Christophe Laporte",2016,122.098055555556
"Christopher Froome",2010,142.871388888889
"Christopher Froome",2011,156.716666666667
"Christopher Froome",2012,47.9613888888889
"Christopher Froome",2013,106.848611111111
"Christopher Froome",2014,93.7669444444444
"Christopher Froome",2015,102.349166666667
