"Position","Rider_1","Country"
"191","Jon Izagirre Insausti ","Spa"
"192","Yukiya Arashiro ","Jpn"
"193","Grega Bole ","Slo"
"194","Borut Bozic ","Slo"
"195","Janez Brajkovic ","Slo"
"196","Ondrej Cink ","Cze"
"197","Sonny Colbrelli ","Ita"
"198","Tsgabu",NA
"199","Javier Moreno Bazan ","Spa"
"201","Guillaume Martin ","Fra"
"202","Frederik Backaert ","Bel"
"203","Thomas Degand ","Bel"
"204","Marco Minnaard ","Ned"
"205","Yoann Offredo ","Fra"
"206","Andrea Pasqualon ","Ita"
"207","Dion Smith ","NZl"
"208","Guillaume Van Keirsbulck ","Bel"
"209","Pieter Vanspeybrouck ","Bel"
"211","Daniel McLay ","GBr"
"212","Maxime Bouet ","Fra"
"213","Brice Feillu ","Fra"
"214","Elie Gesbert ","Fra"
"215","Romain Hardy ","Fra"
"216","Pierre-Luc Périchon ","Fra"
"217","Laurent Pichon ","Fra"
"218","Eduardo Sepúlveda ","Arg"
"219","Florian Vachon ","Fra"
