"Year","Hours_Riding"
2009,540.156388888889
2010,1007.12083333333
2011,1878.7575
2012,1633.64638888889
2013,1949.24055555556
2014,1250.54861111111
2015,1647.56722222222
2016,1956.73944444444
2017,615.461111111111
